id_sp,kab_kota_pt,provinsi_pt,akreditasi,nama_singkat,status_pt,nama_pt,jenis_pt,jumlah_prodi,range_biaya_kuliah
nTjGnscVwM9Svdhm2q9aDp2p3hDVQNM27k9Cy0l1--n6z0uvmYqqVRKXdgdxWOnr9MU6MA==,Kab. Labuhan Batu,Prov. Sumatera Utara,,,Alih Bentuk,Sekolah Tinggi Ilmu Ekonomi Labuhan Batu,Swasta,1,
0hWdX6PgaDMx6d8hsOh8ceU0hux59LKs__pLrepzWeY5u3Iu_z_ub_DLdgyftIwbzmIxYw==,Kab. Gunung Kidul,Prov. D.I. Yogyakarta,Baik,STAIYO,Aktif,"STAI Yogyakarta Wonosari, Gunung Kidul",Agama,6,
E8OEoFlPZ84Sq-5cWAJpNnKmp8oKQM5FcoVZOZfCtbog9m6lRq77Gv6AO6f6-5TAYlBF-A==,Kota Batam,Prov. Kepulauan Riau,Baik,STIQ KEPRI,Aktif,STIQ Kepulauan Riau,Agama,2,187.500 - 5.625.000
nnX1R9uYj3py8gS27lvcHKBOnLItbIK3k8N-O3CZ_g602ly7wsEMRjoTJgupQqDWtXS5sw==,Kota Batam,Prov. Kepulauan Riau,Baik,STEI AR - RACHMAN,Aktif,STEI Ar - Rachman,Agama,1,
_vsz1Ccf_J9gWUvk5ScblPYT-VGDbMxFe3cPAqS4k2dJENvnaRptqYXuVFEZcLGzWiB27A==,Kota Surabaya,Prov. Jawa Timur,B,STIKESWB,Aktif,Sekolah Tinggi Ilmu Kesehatan William Booth,Swasta,4,2.000.000 - 7.397.500
8DL7PRHdYUpJcnQ6HG8cct93xjjDxJEu5ZeBXdmf42iAyTxgbDVxykKcVLAr8rCZjjF-Hg==,Kab. Maluku Tengah,Prov. Maluku,Baik,,Aktif,Universitas Banda Naira,Swasta,6,750.000 - 1.500.000
i_SOSZd3HXX1BAvbAFuX5rGjW8EQVbPbjKVTVktooOkzo_tNjTrZb_Jhh5_7BDRL0_DpxQ==,Kab. Bojonegoro,Prov. Jawa Timur,Baik,IKIP Bojonegoro,Aktif,IKIP PGRI Bojonegoro,Swasta,7,4.200.000 - 9.980.000
H7vjrjr6xX5Z5ID_tdQNrVIoCBrK4GTGuKjJsGfDw-opZzf7iUDHU-_UjJSrwaZ6eZBEkA==,Kota Tangerang,Prov. Banten,Baik Sekali,UR,Aktif,Universitas Raharja,Swasta,13,870.000 - 10.775.000
1Fy9T6OspGXClCMkYxrcyLn5e2-A-UlJyQ0XsL10rUVlRJH9NCMhj8bVlL4AxO9Omd2T3w==,Kota Surabaya,Prov. Jawa Timur,,AKBID GRIYA HUSADA,Alih Bentuk,Akademi Kebidanan Griya Husada,Swasta,1,
7T--i0H3vorn1IUbNVuUOWNRD1qIyvrbRlyE3s9YaRmKUqd8GTYsLhW3coyTnn_CNMWJPg==,Kota Bandung,Prov. Jawa Barat,,STMIK IM,Pembinaan,STMIK IM,Swasta,4,
r92SxPEWdC11KGSIOPYhDadof3t3_3LSIVptgZfw8hhDVADoPJf9BRcqDGHDr-aCaGO4og==,Kota Surabaya,Prov. Jawa Timur,,Akse WMS,Alih Bentuk,Akademi Sekretari Widya Mandala Surabaya,Swasta,1,
KTeBR9rGTmPmoUde5dNlNiGA0kU6-HlM2kkwCs4DDiGxVmpkG7cwvlm2giHy4RGvN7BI8w==,Kab. Lamongan,Prov. Jawa Timur,Baik,ITB AD LAMONGAN,Aktif,Institut Teknologi dan Bisnis Ahmad Dahlan Lamongan,Swasta,8,
4olxYJSe48iFw1-TZQcUZX5TuRfFazvsaKnlZtOq1ioeCNnPZBORwJMsZQjC3QRT-Bsxiw==,Kab. Toba Samosir,Prov. Sumatera Utara,,Institut Teknologi D,Alih Bentuk,Politeknik Informatika Del Toba Samosir,Swasta,5,
2SlZMRpQ9SXAgq7CjsrBzKQE12uPCe3oAzsKrYBTrFhGNJ3qE16ehSiOI_Wp9Cu6mr-3TA==,Kota Tangerang,Prov. Banten,Baik,Akademi Kebidanan Bh,Alih Bentuk,Akademi Kebidanan Bhakti Asih Cileduk,Swasta,1,
rX37-bYERwbYZy8rANxcTF6cJDX9zPhkpIyOSfAfRlDJnS9h0klnatG4Tl8YNjb0aCjsHw==,Kota Surakarta,Prov. Jawa Tengah,,ASGA,Aktif,Akademi Seni Mangkunegaran Surakarta,Swasta,4,
uNq6reCrg2PfL_KoyH1EhicJVmqdHHqgOY0IffrYybFZiExNcXdVIBj_c6mJ-zatWwqGmg==,Kab. Boyolali,Prov. Jawa Tengah,Baik,UBY,Aktif,Universitas Boyolali,Swasta,16,
foSBh05tpfX6DEhjZf0evHv8TAHesIpBGB3CWzGso6qUt24M7jJYUxUo-DcX3tsU6sq_EQ==,Kota Surabaya,Prov. Jawa Timur,,WSU,Aktif,Western Sydney University,Swasta,5,
JWDle0OszOIaqZ0aT5jJsiviuzJ-Cz2-hVA-UBF2AWnE_9wvFD27J5jbS35WU9BpC2fWOQ==,Kota Bogor,Prov. Jawa Barat,,STPP Bogor,Aktif,Sekolah Tinggi Penyuluhan Pertanian Bogor,Kedinasan,2,
5ZVYTStXP1gsiKXw3TMsOxv2dcYbjgnttyxjJ_ZULr4x6vpwzrpj96Ai2UEC2Kojc5KKxg==,Kab. Indragiri Hulu,Prov. Riau,Baik,STAI MADINATUN NAJAH,Aktif,STAI Madinatun Najah,Agama,2,2.200.000 - 2.200.000
0CX1628a3SUTg13aooSdvCYsQzW-c3-DUi8DjZTepfoAnPnPXmc9N2g2dA0J89auV8iN8g==,Kota Batam,Prov. Kepulauan Riau,,STT Ibnu Sina,Alih Bentuk,Sekolah Tinggi Teknik Ibnu Sina,Swasta,2,
YxbNC0DwLhZqzTLgbcZctCFg2l0gjqIr2Q7Iaay5t3rGZzXHdaioyIRe6AvfY44_RP94zQ==,Kota Probolinggo,Prov. Jawa Timur,Baik,STAI Muhammadiyah  P,Alih Bentuk,STAI Muhammadiyah Probolinggo,Agama,6,
8SzLu2fyh40fglNYlkN0I3gBe7GRTpxqltSSGjaTIqt0AYbq6mctTGT9YJFzWIe1gQ_FJA==,Kab. Sampang,Prov. Jawa Timur,,STAIRUA SAMPANG,Aktif,Sekolah Tinggi Agama Islam Raudhatul Ulum Arrahmaniyah Sampang,Agama,2,900.000 - 900.000
mQbiWX81qeeCsF7lsMc9LaTA4NSe1GRHYdtarmgx5zyX8LGS7RHgg9nbnet_cAF5qHXiWA==,Kab. Karo,Prov. Sumatera Utara,,,Alih Bentuk,Akademi Kebidanan Arta Kabanjahe,Swasta,1,
cTBQzzHuFlgiOZiiGrjxPO5FGAuxZJUFZki3G9eKClVFeJzJDo5vKoQZlnxPEuRAGNnYrQ==,Kota Banjarbaru,Prov. Kalimantan Selatan,,STTBB,Aktif,Sekolah Tinggi Teologi Bethel Banjar Baru,Agama,2,
m10FinNXkjQmrr_rNtgzL-xH4eVs2XYbCMY-S6IdY4alS4_2fy4HWJiqgGLrDdtSenKFTQ==,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,,,Tutup,Sekolah Tinggi Ilmu Ekonomi ISM,Swasta,2,
ufcH3j8DPgATWJ4MfgOmurw0s2kuQ61qDPQVjqxD0MbiB3CuYvOvDIhe2v1aPjRXdMUcQw==,Kota Medan,Prov. Sumatera Utara,,,Alih Bentuk,Akademi Kebidanan Hafsyah Medan,Swasta,1,
cWRQXbRL016lVZVFpBEFgFZWE2wRn5itNIxeOdFAqWRZr_Gs7Dc71EoCr0bAPEmhB27b8Q==,Kab. Sintang,Prov. Kalimantan Barat,,,Aktif,Sekolah Tinggi Teologi Injili Setia Sintang,Agama,2,
IVS2zHkrQHzsCgapS3umpXoifwd0ilwkuneNQa5OXl9yMTNSqKR_LPwrznfLQIFP9CSCSA==,Kab. Hulu Sungai Selatan,Prov. Kalimantan Selatan,,,Aktif,Sekolah Tinggi Ekonomi dan Bisnis Islam Kyai Haji Ahmad Syairazi,Agama,2,
InrcVyDIfvOxKnGp3T3PpRVcW68ePhG0FUcDYMBgJ4N7CkHXxy8zYS6O--DPy3XbGLzC8g==,Kota Bandar Lampung,Prov. Lampung,B,STIE Prasetiya Mandi,Alih Bentuk,Sekolah Tinggi Ilmu Ekonomi Prasetiya Mandiri Lampung,Swasta,2,
drGqImGs2X-fcaexoQuG_KmIe0RVfy-GrEAqaPMlloqOoATgndULnganbPAT3L_RhAA2jg==,Kab. Serang,Prov. Banten,B,Untirta,Aktif,Universitas Sultan Ageng Tirtayasa,Negeri,90,500.000 - 15.000.000
QRBTlsOkBxK48YMsrOMNA4tNX0pvC8roEZ0BkHk1yrslofYgv4BQUX_VsmLJZ1HEOnaY-w==,Kab. Sleman,Prov. D.I. Yogyakarta,,Akper Panti Rapih,Alih Bentuk,Akademi Keperawatan Panti Rapih Yogyakarta,Swasta,1,
Kb4AeadTLdPm7V_tNAHtVqAuiiXgcjo9DNTP-FaE2VWxTyExtM-oQ805vNnS9sPrb4olGQ==,Kab. Lampung Timur,Prov. Lampung,Baik,,Aktif,STKIP PGRI Metro,Swasta,4,
7cgNda8Tv16cSSZUR3GbY2hR_PT1imr5nLFV5orU6ERwBiEIYmt8Y7MsWOu8-_STu80OOQ==,Kota Surabaya,Prov. Jawa Timur,Baik,ASMI SURABAYA,Aktif,Akademi Sekretari Dan Manajemen Indonesia Surabaya,Swasta,2,3.550.000 - 3.550.000
gcrMQEmWuAQqKyxai5tfHM5ocS0QWACEI4nFbeIgxBKd3rMGP6tJ9dppBtBX52LZhmn6PQ==,Kota Makassar,Prov. Sulawesi Selatan,,,Alih Bentuk,Akademi Kebidanan Yapma Makassar,Swasta,1,
3-CN3FrNaVR18pYdsyepvPZp993YqMzK_LTcOcR4TO7dTmH4q-YpXqKPdFVJihnMC_GCFA==,Kab. Solok Selatan,Prov. Sumatera Barat,Baik,,Aktif,STIE Widyaswara Indonesia,Swasta,2,1.050.000 - 2.300.000
qRheZUjJPV1pBcUy_aZxiy4QwFUMVkWr-4UvJb61IE96zvbhvWx3iEyfdRn1tNfVB-vtPQ==,Kab. Indramayu,Prov. Jawa Barat,,IPDK,Aktif,Institut Pangeran Dharma Kusuma,Swasta,5,
MaGPBdWkxpqDXRNc7aIU-MsFHnqmO7Fn2giyBNv-Ne6FaS1YEkION5TjC7ERpqY9TiGFmg==,Kab. Tasikmalaya,Prov. Jawa Barat,,STAI Al Ruzhan,Aktif,Sekolah Tinggi Agama Islam Al-Ruzhan,Agama,3,
f2FTMiOQCp45Vv9G7pp2A_OSx5G3ms25_u_HlJiv0wvai6i5X2fFcG-1drLcAn1K0617Rw==,Kota Makassar,Prov. Sulawesi Selatan,,Polinas,Alih Bentuk,Politeknik Informatika Nasional  ,Swasta,5,
S8jlTLbHV-uSSwsqtoAvURSCU1DKafbyg0a1HFKJvjQNXAwcxQmCtUWqZ91MOKB0ltKgHw==,Kab. Soppeng,Prov. Sulawesi Selatan,,,Tutup,Sekolah Tinggi Ilmu Hukum Al Gazali Soppeng,Swasta,1,
PToE8ZGOHElaBBFGa1yanslYUP9zz1LKVsek5yhBXhBOGCkRKmWzKHrv5AIlMe69pJOqIg==,Kota Makassar,Prov. Sulawesi Selatan,,UVRI,Tutup,Universitas Veteran Republik Indonesia,Swasta,13,
-BUdGDU1FkSgoMKAzQt9_Mcd2pzxl3hcmodDD2Fc-jnvChC9jdTB_SJd1iezHxJYtjmFYg==,Kab. Bogor,Prov. Jawa Barat,Baik,STT SUNSUGOS,Aktif,Sekolah Tinggi Teologi Sunsugos Jakarta,Agama,4,
JtbL6LyEIH6eisDQ7-vx5tGAkmtFr1ofIWM1m4haoCLXkixf3mSccuKSJa01mXjJM6NXYw==,Kab. Kuantan Singingi,Prov. Riau,Baik,UNIKS,Aktif,Universitas Islam Kuantan Singingi,Swasta,14,1.750.000 - 2.500.000
z9iGBzHu5gkCDB4v2HwNkf1ht8aX6WKE7DPdHjEr9utPi52rOUlg7W3n5-6ft1PGh35k_Q==,Kab. Lampung Selatan,Prov. Lampung,,,Alih Bentuk,Sekolah Tinggi Ilmu Maritim Mutiara Jaya,Swasta,2,
7ZNc4SP0YX-spc_oYQZenCUmQ-9tpeVObhskHAlVpXebf8XlDNkM927pMRtMiaO1AaRPcw==,Kab. Nganjuk,Prov. Jawa Timur,Baik,ITM ,Aktif,Institut Teknologi Mojosari,Swasta,3,2.400.000 - 24.000.000
chQow8qhOfIKlDiMLRgJDpO4hNjuU4YKLnczTORCMtmxjj274mB8NKdYqSEXozxANVAtNQ==,Kota Bengkulu,Prov. Bengkulu,Baik Sekali,UMB,Aktif,Universitas Muhammadiyah Bengkulu,Swasta,34,225.000 - 40.100.000
jSWaPLOmjGHIgcjkc4jtrwLPSjAiJvSkl0YGYIPmYoT9n5qrGDqPR_hadKp7Bcsap5NcNg==,Kota Bandar Lampung,Prov. Lampung,,STIE-SAN,Alih Bentuk,Sekolah Tinggi Ilmu Ekonomi Satu Nusa,Swasta,4,
YH-A6HdwutffuPS5uMkRyaObtehS4oJ6_FPDTzNLjLpi1D4bzV0ZukjCZG3BJ1r2wnqnqA==,Kota Pontianak,Prov. Kalimantan Barat,,Polpubang,Alih Bentuk,Politeknik Putra Bangsa Pontianak,Swasta,1,
41IZ_yrNJ-cKxwGUTILx14oc9fVoujiS6iNzKRAyDBuZkgZ6GqgDuj-MnlfsWL9YzpgJMA==,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,Baik,STAIDA,Alih Bentuk,Sekolah Tinggi Agama Islam Darunnajah Jakarta,Agama,3,
JfOv0n_WIi7XMoh40bNDvmU97j4K6pUwJSE22tDfJXFgXtLfTgzmxXk7oKMPNdlibkGwIg==,Kab. Bogor,Prov. Jawa Barat,Baik,STIEPM,Tutup,Sekolah Tinggi Ilmu Ekonomi Pandu Madania,Swasta,3,
R-Q0kwsZ0pTkUfpmKdMK1QftwkMpo5JKKUeNJx72eAtcZRB2vPkPAoRy9kMq7Rx0Xyof9Q==,Kab. Rokan Hilir,Prov. Riau,,ITR,Aktif,Institut Teknologi Rokan Hilir,Swasta,3,2.500.000 - 2.500.000
bfszWePULCSm-a-HxSrBCrOaPu14HrtuCqRX5lQjCMEhUhBWj40gpDaGACkdPGfvEJ_SfA==,Kota Cilegon,Prov. Banten,,STMIK CILEGON,Aktif,STMIK Cilegon,Swasta,2,
WtFp4Au6zR6Asv2-2Tzf9fK78PNpXgWHZ4exAZl0rl8K3TTkfWiK1DXrGC0UauSZo6IhUA==,Kota Bekasi,Prov. Jawa Barat,,,Aktif,Sekolah Tinggi Ilmu Ekonomi Arlindo,Swasta,1,
72nC9YVPApMXZtNy1eOyrV-w0i8rNQM0H3lODXeCuXXfmIFTj7C4pgbMKlvzQ5w2UdXtSw==,Kota Tangerang,Prov. Banten,,STISIP,Alih Bentuk,STISIP Yupentek Tangerang,Swasta,3,
-RCnbAnKOvUWDyVb_J5-bhpv-4RfGhb_KyxHWQ-du5nvpCPl8R1ZtBCU3BZF-fxHrF1-mQ==,Tidak Diisi,Prov. Gorontalo,Baik,PolkesGO,Aktif,Poltekkes Kemenkes Gorontalo,Kedinasan,8,2.900.000 - 3.400.000
YiIXk8dclOylGR4N1ABE-3tM-1lLn-L_9QwCGuohwE4biZWmZ3isOyGnhCyd7qwTPlyZUA==,Kab. Jombang,Prov. Jawa Timur,Baik,Unwaha,Aktif,Universitas KH. A. Wahab Hasbullah,Swasta,16,2.500.000 - 5.000.000
L2gimT2TYOzW9wlB6Rs9B8iuGxyDifXhOHez_ZOIVMAzYW7kbPJhFbDE7vNrRziUmpcGkQ==,Kota Makassar,Prov. Sulawesi Selatan,,,Aktif,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Bina Harapan Celebes,Swasta,2,
SXWoAy_eFTbiOj3dmiUXeh8Edla4cmsFFLSlIJqMqA7YQ5GWt-LLhjAPw6XWPMhnhjsOfQ==,Kota Bandar Lampung,Prov. Lampung,,akbid adila,Alih Bentuk,Akademi Kebidanan Adila,Swasta,1,
_d_bfNcd7hdiQZ06Gn9wLTbGbJfAX0Z-XfgkCgVEsC1eDrLmJmHUT8XVsVQH_KdehZ0e6A==,Kota Jayapura,Prov. Papua,Baik,STIE Port Numbay,Aktif,Sekolah Tinggi Ilmu Ekonomi Port Numbay Jayapura,Swasta,4,1.220.000 - 10.700.000
j2OrGWl03UpnhWLwNY0MayiqLC15O21yZlSqreW-ACCa4TRqz7_ZXVEiVvG0B8us629cwQ==,Kab. Bandung,Prov. Jawa Barat,Baik,STKINDO WU,Aktif,Sekolah Tinggi Kesehatan Indonesia Wirautama,Swasta,6,
d2bjHP2HeqPSUmXP1YzXTRNvXNCrlrd3FYBdKFFEvRzLTgX57Zx0mMO9LuW8W86rUmEeNQ==,Kab. Aceh Besar,Prov. Aceh,,Akper Abulyatama,Alih Bentuk,Akademi Keperawatan Abulyatama,Swasta,1,
Luc19ZgVjoHIaNjTb6U8nMrTsTFdpqBlymh33X7n9XON6S62Ui6ynoYC177uN_di7anfiw==,Kab. Batang,Prov. Jawa Tengah,,,Alih Bentuk,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Muhammadiyah Batang,Swasta,2,
zjYo-SD32zqxQdIyyM1qWQZzCNxZL1bbb0-apbw2jMgxjxjkwKoxdUWCZ-D4_gg8GDJokA==,Kota Bengkulu,Prov. Bengkulu,Baik,STIA Bengkulu,Aktif,Sekolah Tinggi Ilmu Administrasi Bengkulu,Swasta,5,
Rj9KUV1sl8cXwbwQER8XGDF0aS-BVN0t1jHpjREka5rC1WOvREQvm8fqwtbHl3MuRppJWQ==,Kab. Buton,Prov. Sulawesi Tenggara,,,Aktif,Institut Teknologi Kelautan Buton,Swasta,3,1.000.000 - 1.000.000
xBh_o-PlLDxjgDZnu7DKkoXvdRN1mlGCaMwlVO_G91rPV1RHSg8GlAXXB2uaP7QX2lYQhg==,Kab. Pangkajene Kepulauan,Prov. Sulawesi Selatan,,AKbid Mayapada,Aktif,Akademi Kebidanan Mayapada Gading Persada,Swasta,1,
IngA0XUxYXtr3P5EomI18zqVCTW0gpsBdtJjpKRdmoz35tnc0e0QHsiOLe6k5k75GEAS9Q==,Kota Makassar,Prov. Sulawesi Selatan,,AMIK Rizky Makassar,Alih Bentuk,AMIK Rizky Makassar,Swasta,3,
6BwL0hxA97z0NpygZaAkx2obdOrmzUofZJrxnOA2a3_Yd51mJ3WLu73BgGY9slmjXOFE3w==,Kab. Banyumas,Prov. Jawa Tengah,Baik,STIKOM YOS SUDARSO,Aktif,Sekolah Tinggi Ilmu Komputer Yos Sudarso,Swasta,4,10 - 10
fz3skEDE8PPXISir-3dp4PO90m0toXxcSuwDUYlRwY8LSLO18If5_lfX8is6NMR_DjnWxQ==,Kab. Bekasi,Prov. Jawa Barat,,,Alih Bentuk,STMIK Cikarang,Swasta,4,
l8TrgOlcsrIA2AmEjp2dzKftdBFYStKjOdb5sMDwZUrda0xwGyz04zPHAk-D6whpLsgK0A==,Kab. Indramayu,Prov. Jawa Barat,Baik,AKBID SAYID SABIQ,Aktif,Akademi Kebidanan Sayid Sabiq Indramayu,Swasta,1,
qlKbO_FSpg0tY6X9F7FkyYA2oL-LBqQ-kRoKGY1XBzbeJSxgIOHe8odh9ud61VUm1zP3Fg==,Kota Batu,Prov. Jawa Timur,Baik Sekali,STAB Kertarajasa,Aktif,Sekolah Tinggi Agama Buddha Kertarajasa,Agama,1,860.000 - 2.000.000
nDEFsxW2fGqvocPse2thvDf0DS7d5rYeV3PT3x3YJrmMRAT1igqb57BUC4ulyl_KcTDCzA==,Kota Cilegon,Prov. Banten,C,STIE Al-Khairiyah,Alih Bentuk,Sekolah Tinggi Ilmu Ekonomi Al-Khairiyah,Swasta,2,
eoZ-TJ8XLUx4g0ecFANZ4L3r8B4yNL-kxAXjTJu21osg3IU1FwbKJO5gTpw3C4LsAasA-Q==,Kab. Jombang,Prov. Jawa Timur,Baik,STIKES ICME,Aktif,STIKES Insan Cendekia Medika Jombang,Swasta,8,
VcFD9AXc9Rv9AZ22l9a_cFYjqmenbMvdCO-vGnJKQiN7LHi2-rZat7F0h3TOAMfAgXDNkw==,Kab. Aceh Besar,Prov. Aceh,Baik,POLIVEN,Aktif,Politeknik Indonesia Venezuela,Swasta,5,2.400.000 - 4.000.000
TnNl_LTrdVZPb6uFEP7QEqn0zonCT5-PId-XUhJaxyjXUXvJGaNBvSPZ5fTonvtW_aHczQ==,Kota Jakarta Barat,Prov. D.K.I. Jakarta,Baik,STIE Kasih Bangsa,Aktif,Sekolah Tinggi Ilmu Ekonomi Kasih Bangsa,Swasta,2,2.500.000 - 4.800.000
xirCwh5SyoxM_RPxHLRPj435vDYkms1NRZS9VXyYap9yo8ZbgblG8Wbu_YmA0MX-ANwFfg==,Kota Mojokerto,Prov. Jawa Timur,Baik,POLITAMA,Aktif,Politeknik Internasional Tamansiswa Mojokerto,Swasta,3,
7NrtGttxW6jzrhgwo4zzg9cDOuccBhAL52Mm4ccVrtXDHtj6d3Sj_FXuCkkj1DN2MsHgBg==,Kota Medan,Prov. Sumatera Utara,Baik Sekali,PENUSA,Aktif,STMIK Pelita Nusantara,Swasta,6,
TOCxyBm3cf5MUDB3Vw7GdKpIa6Azh5y7mWlrScBQg8RSzjETNyC2jfDjLcbginJE_oABLA==,Kab. Sampang,Prov. Jawa Timur,Baik,STEI Walisongo,Aktif,STEI Walisongo sampang,Agama,1,
ntgzAOJUFUxuFFR-ERE0EZNy0S5JvOEau-7eVFy2kSXc9UwjR87yhuSOEmgHc6VcoF6GGA==,Kota Makassar,Prov. Sulawesi Selatan,Baik,STT BISANRY,Aktif,STT BISANRY MAKASSAR,Agama,4,
8_pFwzRCLfnjlLF4bWOSYSkP-8EX0jY5eA5LejGaUUwiFrFDNLkrv2G7OWXCTRzjCz-HYA==,Kab. halmahera Utara,Prov. Maluku Utara,Baik,,Aktif,Sekolah Tinggi Ilmu Kesehatan Makariwo Halmahera,Swasta,6,24 - 5.000.000
K-IR2SlG8s-wvX8dSnzjzOs2ErEs3hwmMV1CrQ0I5OIolnPLHkKfcMC-TIQqusHBy9b3tg==,Kota Depok,Prov. Jawa Barat,Baik,,Aktif,STIKES Raflesia,Swasta,4,60.000 - 12.820.000
lap19ZgZNZ_ig1IX6lufS8kR-EcSoJjn_4xeh1RWHCv3GbYCh-iv2FMPhTWEVNrLWQIYKw==,Kab. Kediri,Prov. Jawa Timur,,AKPER PAMENANG,Alih Bentuk,Akademi Keperawatan Pamenang,Swasta,1,
RG2m83qivHJSLJS9PmgYJDmYBmYc0B-N90nLHlqhEAnXk5EDz9UKelRx5MpYykbDGmCceg==,Kota Medan,Prov. Sumatera Utara,Baik,STIKes Indah Medan,Aktif,Sekolah Tinggi Ilmu Kesehatan Indah Medan,Swasta,4,3.600.000 - 4.500.000
HZDjqQhfKXRnWKm2vl7RPRH6_DkhkWQrC0aN6vTQmDbaYG_2e-kIbp-wNoqfgUav1_PhJw==,Kota Batam,Prov. Kepulauan Riau,,STT Calvary Batam,Aktif,Sekolah Tinggi Teologi Calvary Batam,Agama,1,
Zi6HB_IFE8VePr-KxbB9ejT5jum5rWwnCsNZ44Jw8cu0DWtHrDMUZGoRm6FCqXRQTRUi-Q==,Kab. Sumedang,Prov. Jawa Barat,Unggul,Unpad,Aktif,Universitas Padjadjaran,Negeri,242,1 - 56.000.000
unEfYt8_8mkWohFhSbFrQeiXmRjnadJkjRmAUpPJBvxUq19VPIY0lrvy-UdpM6YlQdpuXQ==,Kab. Penajam Paser Utara,Prov. Kalimantan Timur,,STAI BINUS PPU,Aktif,Sekolah Tinggi Agama Islam Bina Nusa Penajam Paser Utara,Agama,2,
rx03GD2LitwxpWW8dQ9-QkhBACmqnYwCUH_i1-FL8sRyhUN6vrmSylQk-M6TiChMHsfDGg==,Kab. Karawang,Prov. Jawa Barat,Baik,"STIE ""YPN""",Alih Bentuk,Sekolah Tinggi Ilmu Ekonomi YPN,Swasta,2,
JIDla9DvphWHQ8DuFjnqUXjNygQAzYSCbL7yF2DNYDkxe3fRIfyzR_jO7Imt_xppz7RmyQ==,Kota Palembang,Prov. Sumatera Selatan,,IAINU SUMSEL,Aktif,Institut Agama Islam Nahdlatul Ulama Sumatera Selatan ,Agama,6,
DX5V58J1sbd1Ji0pi-0TefZs5_ITp7vltWl8bZCm-4HPoi1hdFyn4HXEsClKkdVcJD748A==,Kota Padang,Prov. Sumatera Barat,,,Alih Bentuk,Akademi Kebidanan Alifah Padang,Swasta,1,
B_WasCVWwo-MRdbRPgYGfh8aEcWflua_ru7Wmqh04nMd86sswuQwnaFrNnyp8_Lv_iXbmA==,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,Baik Sekali,PolkesJadu,Aktif,Poltekkes Kemenkes Jakarta II,Kedinasan,11,4.300.000 - 6.800.000
3rTiM7FagCZrMPq5VFGTfK-HQCGTKV_aFG61vpt7zDk2Qi2jgaBX4tcySAnx6C9IZ8GS_w==,Kota Pangkalpinang,Prov. Bangka Belitung,,,Aktif,Sekolah Tinggi Teologi Ratson Bangka Belitung,Agama,1,
iZrRst_9bMkDvqtUW-4L9zZxkdxaf49CPELQGwvvRZJ8pj7iGkcfR9Aery6i11jMUq4TEQ==,Kota Semarang,Prov. Jawa Tengah,Baik Sekali,U S M,Aktif,Universitas Semarang,Swasta,19,-2 - 6.600.000
HyV6fzxtJSGR4Dh19V-0S_Y5LHO5NPvET7x9gd4DJmMGORIlJte1H-_rk4OQxbJvKZ7uXg==,Kota Jayapura,Prov. Papua,Baik,AKPER RSMI,Aktif,Akademi Keperawatan RS Marthen Indey,Swasta,1,
QYbk1oDuPfqwWUhaqBh77jPMNXx46Cff7uhkBbgAmxmznvMC9zarzFTRZ1u46kfyeaTElg==,Kab. Jayapura,Prov. Papua,,,Aktif,Sekolah Tinggi Ifta Jayapura,Agama,1,
t5zp3gIA9HV1Qi5svoshVQIb5ZOau4TuupEVbyouAoOlL0MpB-QdCo1ud_7-gGPNfW8tcA==,Kab. Ogan Komering Ulu Timur,Prov. Sumatera Selatan,Baik,STIPER BELITANG,Aktif,Sekolah Tinggi Ilmu Pertanian Belitang,Swasta,1,2.500.000 - 2.500.000
rhiHLl8BI4H0lpx1BKhjo8vhaqbXnmHDaoGcYAKgJfrjfcPtp-pLsMeogcKPoTFiylLbww==,Tidak Diisi,Prov. D.K.I. Jakarta,,,Aktif,Sekolah Tinggi Teologi Ecclesia Christi Jakarta,Agama,1,
HaDe4OGsJKOL0pB1LURB4fiNfkeypywi1B76nT09fSktRZ75tqqdizfnSyGLDpJ3PLdtfw==,Kab. Malang,Prov. Jawa Timur,Baik Sekali,Polbangtan Malang,Aktif,Politeknik Pembangunan Pertanian Malang,Kedinasan,3,
c6kJX5Jex5L17dY1edqg0HC4M9DeEM0Cj0NyuoQTBPibEXCou354OSeKLV809K0_Tshmlg==,Kab. Batang Hari,Prov. Jambi,,STAI Muara Bulian,Alih Bentuk,"STAI Muara Bulian Batanghari, Jambi",Agama,7,
-wpG1jTLhxDCHzzPDhpm8RqvHrGwRuWGy9g90keRHRtgiwlzziVfs_Rb9Kv57aWuI6kSzw==,Kota Palu,Prov. Sulawesi Tengah,Baik Sekali,UIN Datokarama Palu,Aktif,Universitas Islam Negeri Datokarama Palu,Agama,33,400.000 - 60.000.000
6qNIrOcoSInOSs7N62dhjTxJG-16bt3wHrnoytt_LyGt2-WkFHclOOG6hb4axcDftmwmMg==,Kota Ambon,Prov. Maluku,,,Aktif,Institut Agama dan Keagamaan Oikumene Indonesia Timur Ambon,Agama,2,
vPWYs1m6Bh7T28M2lSG8re55BK4PE4RjWErxuQ0eH9iRSB0OvvtcbRN5rHkedBpiRfmssQ==,Kota Palembang,Prov. Sumatera Selatan,Unggul,UIN RFP,Aktif,Universitas Islam Negeri Raden Fatah Palembang,Agama,54,400.000 - 8.500.000
